SA.09.02,"Perumahan (Tabungan Perumahan (TAPERUM), Biaya Uang Muka)"
SA.09.03,Tabungan dan Asuransi Pegawai Negeri (TASPEN)
SA.09.04,Cuti
SA.09.05,Uang Duka Tewas
SA.09.06,Pembekalan Purnabakti
SA.09.07,Mutasi Keluarga
SA.09.08,Laporan Kekayaan (Laporan Pajak-Pajak Pribadi (LP2P) dan Laporan Harta Kekayaan Penyelenggara Negara (LHKPN))
SA.10,Pembinaan Jabatan Fungsional
SA.10.1001,Jabatan Fungsional Umum (JFU)
SA.10.1002,Jabatan Fungsional Tertentu (JFT)
SA.11,Pemberhentian SDM Aparatur
SA.11.01,Pemberhentian Atas Permintaan Sendiri
SA.11.02,Pemberhentian Karena Batas Usia Pensiun
SA.11.03,Pemberhentian Karena Keuzuran/Kondisi Jasmani dan Rohani
SA.11.04,Pemberhentian Karena Hilang
SA.11.05,Pemberhentian Sementara
SA.11.06,Pensiun Janda/Duda dan Anak
SA.12,Berkas PNS
SA.13,"Berkas Perseorangan Menteri, Wakil Menteri dan Pejabat Negara lainnya"
SA.14,Organisasi Non Kedinasan
SA.14.1401,Korpri
SA.14.1402,Dharma Wanita
SA.14.1403,Koperasi
PB,Pengelolaan Barang MILIK Negara
PB.01,Perencanaan Barang Milik Negara
PB.01.01,Usulan Rencana Kebutuhan BMN
PB.01.02,Rencana Kebutuhan BMN Kementerian
PB.01.03,Hasil Analisis Kebutuhan BMN
PB.01.04,Rencana Kebutuhan Aset Berwujud
PB.01.05,Rencana Kebutuhan Aset tak Berwujud
PB.02,Pengadaan Barang Milik Negara (Layanan Pengadaan)
PB.02.01,Pengelolaan Pengadaan Barang/Jasa
PB.02.02,Pengelolaan layanan pengadaan secara elektronik dan data informasi pengadaan barang/jasa
PB.02.03,"Pembinaan, Bimbingan, Pendampingan, dan Konsultasi Teknis Pengadaan Barang/Jasa"
PB.02.04,Tindaklanjut Hasil Pemeriksaan
PB.02.05,Laporan Pengadaan Barang/Jasa
PB.02.06,Telaahan Permasalahan Pengadaan Barang/Jasa
PB.02.07,Unit Kerja Pengadaan Barang dan Jasa (UKPBJ)
PB.02.08,Pendistribusian Barang Milik Negara
PB.03,Penetapan Status dan Pengamanan Barang Milik Negara (BMN)
PB.03.01,Penggunaan Barang Milik Negara (BMN)
PB.03.02,Pemanfaatan Barang Milik Negara
PB.03.03,Pengamanan dan Pemeliharaan
PB.03.04,Rumah Negara
PB.04,Penatausahaan Barang Milik Negara
PB.04.01,Pencatataan Barang Milik Negara
PB.04.02,Inventarisasi
PB.04.03,Opname fisik
PB.04.04,Rekonsiliasi data Barang Milik Negara
PB.04.05,Pengawasan dan Pengedalian BMN
PB.04.06,Laporan Barang Milik Negara
PB.05,Pemindahtanganan dan Penghapusan
PB.05.01,Penjualan
PB.05.02,Tukar Menukar
PB.05.03,Hibah
PB.05.04,Pemusnahan
PB.05.05,Penghapusan
HK,HUKUM DAN KERJA SAMA
HK.01,Kerja Sama/Hubungan Lembaga dan Organisasi Kemasyarakatan
HK.01.01,Lembaga Tinggi Negara (dalam negeri dan luar negeri)
HK.01.02,Lembaga Pemerintah (dalam negeri dan luar negeri)
HK.01.03,Organisasi Kemasyarakatan/Lembaga Swasta (dalam negeri dan luar negeri)
HK.01.04,Perguruan Tinggi/Sekolah (dalam negeri dan luar negeri)
HK.01.05,Penyusunan Dokumen Kerja Sama (dalam negeri dan luar negeri)
HK.01.06,Permintaan dan Pengelolaan Data Kerja Sama (dalam negeri dan luar negeri)
HK.01.07,"Audiensi/Kunjungan (Kementerian/Lembaga, Organisasi"
HK.01.08,Pemantauan dan Evaluasi
HK.01.09,Administrasi Kerja Sama
HK.02,Layanan Advokasi Hukum
HK.02.01,Advokasi Hukum Litigasi
HK.02.02,Advokasi Hukum Non Litigasi
HK.02.03,Pengaduan Hukum
HK.02.04,Bantuan Hukum
HK.02.05,Layanan Aspirasi Dan Pengaduan Online Rakyat (LAPOR)
HK.02.06,Sistem Informasi Pelayanan Publik (SIPP)
HK.03,Penyusunan Peraturan Perundang-undangan
HK.03.01,Penyusunan Rencana Pembentukan Perundang-undangan
HK.03.02,"Penyusunan, Penetapan dan Pengundangan"
UM,UMUM
UM.01,Ketatausahaan
UM.01.01,Persuratan
UM.01.02,Ucapan Terima Kasih/Ucapan Selamat
UM.02,Kearsipan
UM.02.01,Pemindahan Arsip
UM.02.02,Pemusnahan Arsip
UM.02.03,Penyerahan
UM.02.04,Pembinaan Kearsipan
UM.02.05,Pengawasan Kearsipan
UM.02.06,Monitoring dan Evaluasi
UM.03,Kerumahtanggaan
UM.03.01,Penggunaan Ruang dan Peralatan Kantor
UM.03.02,Penggunaan dan Penghunian Rumah Negara
UM.03.03,Penggunaan dan Pemeliharaan Kendaraan Dinas
UM.03.04,Penggunaan dan Pemeliharaan Barang Elektronik serta Mesin
UM.03.05,Pemeliharaan Gedung dan Bangunan serta Area Kantor
UM.03.06,Pemeliharaan Alat Kesehatan
UM.03.07,Perjalanan Dinas (Dalam Negeri/Luar Negeri)
UM.03.08,Penghematan Energi dan air
UM.04,Keprotokolan
UM.04.01,Penyelenggaraan Upacara
UM.04.02,"Pelayanan Tamu, Acara Kedinasan, Jamuan dan Ramah Tamah"
UM.04.03,Daftar Nama Pejabat dan Alamat
UM.05,Pengamanan
UM.05.01,Pengamanan Personil (VVIP/VIP)
UM.05.02,"Pengamanan Lingkungan, Fisik dan Instalasi"
UM.05.03,Pengamanan Dokumen dan Informasi Rahasia
UM.05.04,Laporan Keamanan
UM.05.05,Laporan Kejadian
UM.05.06,Bantuan Pengamanan
UM.06,Pembinaan Sikap Mental dan Layanan Kesehatan
UM.06.01,Layanan Keagamaan dan Sosial
UM.06.02,Layanan Kesehatan Jasmani
UM.06.03,Pelayanan Kesehatan
UM.07,Kepustakaan
UM.07.01,Akusisi
UM.07.02,Pegolahan Bahan Pustaka
UM.07.03,Pangkalan Data Koleksi
UM.07.04,Layanan Perpustakaan
UM.07.04,Pengembangan TI Perpustakaan
UM.07.04,"Naskah yang berkaitan dengan pengembangan website perpustakaan, kemas ulang informasi dalam format multimedia, pengembangan aplikasi perpustakaan, dan pengembangan pangkalan data digital"
UM.07.04,Penanyangan Bahan Pustaka
UM.07.05,Preservasi Bahan Pustaka
UM.07.05,Perawatan Bahan Pustaka
UM.07.05,Naskah yang berkaitan dengan kegiatan pelaksanaan teknis konservasi dalam perawatan dan pengawetan bahan pustaka.
UM.07.05,Perbaikan Bahan Pustaka
UM.07.05,Naskah yang berkaitan dengan kegiatan pelaksanaan teknis konservasi dalam perbaikan bahan pustaka.
UM.07.05,Penjilidan
UM.07.05,Naskah yang berkaitan dengan kegiatan pelaksanaan teknis konservasi dalam penjilidan bahan pustaka.
UM.07.05,Reproduksi Foto
UM.07.05,Naskah yang berkaitan dengan kegiatan reproduksi foto ke dalam bentuk digital serta pemeliharaan dan penyimpanannya.
UM.07.06,Pengembangan Perpustakaan
UM.07.06,Standar Nasional Perpustakaan
UM.07.06,Naskah yang berkaitan dengan penyusunan standar nasional perpustakaan khusus.
UM.07.06,Pedoman Perpustakaan
UM.07.06,Naskah yang berkaitan dengan penyusunan pedoman perpustakaan khusus.
UM.07.06,Akreditasi Perpustakaan
UM.07.06,Naskah yang berkaitan dengan kelengkapan permintaan atau pemberian akreditasi perpustakaan.
UM.07.06,Pengkajian Perpustakaan
UM.07.06,"Naskah yang berkaitan dengan kegiatan pengkajian perpustakaan, mulai dari rapat persiapan, studi referensi, penyusunan instrumen penelitian, pengumpulan data/survei, analisis data, pembahasan hasil survei, penyusunan draf awal, ekspose, penyusunan draf akhir, hingga pencetakan hasil kajian."
UM.07.06,"Promosi Perpustakaan (publikasi, pameran)"
UM.07.06,Naskah yang berkaitan dengan promosi perpustakaan.
UM.07.07,Pendidikan dan Pelatihan Perpustakaan
UM.07.07,Naskah yang berkaitan dengan analisa/perencanaan kebutuhan penyelenggaraan diklat serta kerja sama dengan instansi lain.
UM.07.08,Tenaga Perpustakaan
UM.07.08,Sertifikasi Tenaga Perpustakaan
UM.07.08,Naskah yang berkaitan dengan pelaksanaan sertifikasi kompetensi pustakawan.
UM.07.08,Pembinaan Tenaga Perpustakaan
UM.07.08,"Naskah yang berkaitan dengan kegiatan bimbingan teknis tenaga perpustakaan, bimbingan teknis tim penilai pustakawan, dan pengembangan profesi pustakawan (seminar, workshop)."
UM.07.08,Penilaian Jabatan Fungsional Pustakawan
UM.07.08,Naskah yang berkaitan dengan kegiatan penilaian pustakawan.
PW,Pengawasan
PW.01,Perencanaan
PW.01.01,Kebijakan Pengawasan
PW.01.02,Perjanjian Kinerja
PW.01.03,Program Kerja Pengawasan Tahunan (PKPT)
PW.01.04,Program Kerja Administrasi Umum (PKAU)
PW.01.05,Rapat Koordinasi Pengawasan (RAKORWAS)
PW.01.06,Ikhtisar Hasil Pengawasan
PW.02,Pelaksanaan Pengawasan
PW.02.01,"Audit Kinerja & Informasi, Reviu dan Evaluasi"
PW.02.02,Audit Tujuan Tertentu / Khusus
PW.02.03,Pemantauan / Monitoring
PW.02.03,Badan Pemeriksa Keuangan Republik Indonesia (BPK RI)
PW.02.03,Badan Pengawasan Keuangan dan Pembangunan Republik Indonesia (BPKP RI)
PW.02.03,Ombudsman Republik Indonesia (ORI)
PW.02.03,Inspektorat Jenderal
PW.02.04,"Pengawasan lainnya, Pendampingan, Sosialisasi, Perjanjian Kerja Sama"
PW.03,Pelaporan
PW.03.01,"Laporan Hasil Audit Kinerja (LHA/LHP), Informasi Data Pendukung Pemeriksaan Dalam Negeri dan Luar Negeri"
PW.03.01,
PW.03.02,Laporan Hasil Audit Tujuan Tertentu (Audit Khusus)
